Lars	Lars
und	und
Lea	Lea
kaufen	kaufen
ein	ein
eis	Eis
.	.
Der	Der
eisferkeufer	Eisverkäufer
gibt	gibt
in	ihn
eins	eins
.	.
Dan	Dann
gen	gehen
sie	sie
und	und
esen	essen
ir	ihr
eis	Eis
.	.
Dodo	Dodo
fenkt	fängt
die	die
tropfen	Tropfen
die	die
runter	runter
fallen	fallen
.	.
Dodo	Dodo
get	geht
so	so
langsam	langsam
Lea	Lea
Stolpat	stolpert
üba	über
dodo	Dodo
und	und
das	das
eis	Eis
fellt	fällt
ir	ihr
aus	aus
der	der
Hand	Hand
.	.
Sie	Sie
fellt	fällt
hinn	hin
.	.
Lars	Lars
hilft	hilft
ir	ihr
und	und
dodo	Dodo
lekt	leckt
das	das
eis	Eis
auf	auf
.	.
Lars	Lars
hat	hat
eine	eine
ide	Idee
er	er
giebt	gibt
eine	eine
kugel	Kugel
eis	Eis
Lea	Lea
dan	dann
gen	gehen
sie	sie
glüklieg	glücklich
.	.
